[],CH2[]
-2.9995E-02,1.7619637891E+00
-2.9990E-02,1.7619637891E+00
-2.9985E-02,1.7619637891E+00
-2.9980E-02,1.7619637891E+00
-2.9975E-02,1.7619637891E+00
-2.9970E-02,1.7619637891E+00
-2.9965E-02,1.7619637891E+00
-2.9960E-02,1.7619637891E+00
-2.9955E-02,1.7619637891E+00
-2.9950E-02,1.7619637891E+00
-2.9945E-02,1.7619637891E+00
-2.9940E-02,1.7619637891E+00
-2.9935E-02,1.7619637891E+00
-2.9930E-02,1.7619637891E+00
-2.9925E-02,1.7619637891E+00
-2.9920E-02,1.7619637891E+00
-2.9915E-02,1.7619637891E+00
-2.9910E-02,1.7619637891E+00
-2.9905E-02,1.7619637891E+00
-2.9900E-02,1.7619637891E+00
-2.9895E-02,1.7619637891E+00
-2.9890E-02,1.7619637891E+00
-2.9885E-02,1.7619637891E+00
-2.9880E-02,1.7619637891E+00
-2.9875E-02,1.7619637891E+00
-2.9870E-02,1.7619637891E+00
-2.9865E-02,1.7619637891E+00
-2.9860E-02,1.7619637891E+00
-2.9855E-02,1.7619637891E+00
-2.9850E-02,1.7619637891E+00
-2.9845E-02,1.7619637891E+00
-2.9840E-02,1.7619637891E+00
-2.9835E-02,1.7619637891E+00
-2.9830E-02,1.7619637891E+00
-2.9825E-02,1.7619637891E+00
-2.9820E-02,1.7619637891E+00
-2.9815E-02,1.7619637891E+00
-2.9810E-02,1.7619637891E+00
-2.9805E-02,1.7619637891E+00
-2.9800E-02,1.7619637891E+00
-2.9795E-02,1.7619637891E+00
-2.9790E-02,1.7619637891E+00
-2.9785E-02,1.7619637891E+00
-2.9780E-02,1.7619637891E+00
-2.9775E-02,1.7619637891E+00
-2.9770E-02,1.7619637891E+00
-2.9765E-02,1.7619637891E+00
-2.9760E-02,1.7619637891E+00
-2.9755E-02,1.7619637891E+00
-2.9750E-02,1.7619637891E+00
-2.9745E-02,1.7619637891E+00
-2.9740E-02,1.7619637891E+00
-2.9735E-02,1.7619637891E+00
-2.9730E-02,1.7619637891E+00
-2.9725E-02,1.7619637891E+00
-2.9720E-02,1.7619637891E+00
-2.9715E-02,1.7619637891E+00
-2.9710E-02,1.7619637891E+00
-2.9705E-02,1.7619637891E+00
-2.9700E-02,1.7619637891E+00
-2.9695E-02,1.7619637891E+00
-2.9690E-02,1.7619637891E+00
-2.9685E-02,1.7619637891E+00
-2.9680E-02,1.7619637891E+00
-2.9675E-02,1.7619637891E+00
-2.9670E-02,1.7619637891E+00
-2.9665E-02,1.7619637891E+00
-2.9660E-02,1.7619637891E+00
-2.9655E-02,1.7619637891E+00
-2.9650E-02,1.7619637891E+00
-2.9645E-02,1.7619637891E+00
-2.9640E-02,1.7619637891E+00
-2.9635E-02,1.7619637891E+00
-2.9630E-02,1.7619637891E+00
-2.9625E-02,1.7619637891E+00
-2.9620E-02,1.7619637891E+00
-2.9615E-02,1.7619637891E+00
-2.9610E-02,1.7619637891E+00
-2.9605E-02,1.7619637891E+00
-2.9600E-02,1.7619637891E+00
-2.9595E-02,1.7619637891E+00
-2.9590E-02,1.7619637891E+00
-2.9585E-02,1.7619637891E+00
-2.9580E-02,1.7619637891E+00
-2.9575E-02,1.7619637891E+00
-2.9570E-02,1.7619637891E+00
-2.9565E-02,1.7619637891E+00
-2.9560E-02,1.7619637891E+00
-2.9555E-02,1.7619637891E+00
-2.9550E-02,1.7619637891E+00
-2.9545E-02,1.7619637891E+00
-2.9540E-02,1.7619637891E+00
-2.9535E-02,1.7619637891E+00
-2.9530E-02,1.7619637891E+00
-2.9525E-02,1.7619637891E+00
-2.9520E-02,1.7619637891E+00
-2.9515E-02,1.7619637891E+00
-2.9510E-02,1.7619637891E+00
-2.9505E-02,1.7619637891E+00
-2.9500E-02,1.7619637891E+00
-2.9495E-02,1.7619637891E+00
-2.9490E-02,1.7619637891E+00
-2.9485E-02,1.7619637891E+00
-2.9480E-02,1.7619637891E+00
-2.9475E-02,1.7619637891E+00
-2.9470E-02,1.7619637891E+00
-2.9465E-02,1.7619637891E+00
-2.9460E-02,1.7619637891E+00
-2.9455E-02,1.7619637891E+00
-2.9450E-02,1.7619637891E+00
-2.9445E-02,1.7619637891E+00
-2.9440E-02,1.7619637891E+00
-2.9435E-02,1.7619637891E+00
-2.9430E-02,1.7619637891E+00
-2.9425E-02,1.7619637891E+00
-2.9420E-02,1.7619637891E+00
-2.9415E-02,1.7619637891E+00
-2.9410E-02,1.7619637891E+00
-2.9405E-02,1.7619637891E+00
-2.9400E-02,1.7619637891E+00
-2.9395E-02,1.7619637891E+00
-2.9390E-02,1.7619637891E+00
-2.9385E-02,1.7619637891E+00
-2.9380E-02,1.7619637891E+00
-2.9375E-02,1.7619637891E+00
-2.9370E-02,1.7619637891E+00
-2.9365E-02,1.7619637891E+00
-2.9360E-02,1.7619637891E+00
-2.9355E-02,1.7619637891E+00
-2.9350E-02,1.7619637891E+00
-2.9345E-02,1.7619637891E+00
-2.9340E-02,1.7619637891E+00
-2.9335E-02,1.7619637891E+00
-2.9330E-02,1.7619637891E+00
-2.9325E-02,1.7619637891E+00
-2.9320E-02,1.7619637891E+00
-2.9315E-02,1.7619637891E+00
-2.9310E-02,1.7619637891E+00
-2.9305E-02,1.7619637891E+00
-2.9300E-02,1.7619637891E+00
-2.9295E-02,1.7619637891E+00
-2.9290E-02,1.7619637891E+00
-2.9285E-02,1.7619637891E+00
-2.9280E-02,1.7619637891E+00
-2.9275E-02,1.7619637891E+00
-2.9270E-02,1.7619637891E+00
-2.9265E-02,1.7619637891E+00
-2.9260E-02,1.7619637891E+00
-2.9255E-02,1.7619637891E+00
-2.9250E-02,1.7619637891E+00
-2.9245E-02,1.7619637891E+00
-2.9240E-02,1.7619637891E+00
-2.9235E-02,1.7619637891E+00
-2.9230E-02,1.7619637891E+00
-2.9225E-02,1.7619637891E+00
-2.9220E-02,1.7619637891E+00
-2.9215E-02,1.7619637891E+00
-2.9210E-02,1.7619637891E+00
-2.9205E-02,1.7619637891E+00
-2.9200E-02,1.7619637891E+00
-2.9195E-02,1.7619637891E+00
-2.9190E-02,1.7619637891E+00
-2.9185E-02,1.7619637891E+00
-2.9180E-02,1.7619637891E+00
-2.9175E-02,1.7619637891E+00
-2.9170E-02,1.7619637891E+00
-2.9165E-02,1.7619637891E+00
-2.9160E-02,1.7619637891E+00
-2.9155E-02,1.7619637891E+00
-2.9150E-02,1.7619637891E+00
-2.9145E-02,1.7619637891E+00
-2.9140E-02,1.7619637891E+00
-2.9135E-02,1.7619637891E+00
-2.9130E-02,1.7619637891E+00
-2.9125E-02,1.7619637891E+00
-2.9120E-02,1.7619637891E+00
-2.9115E-02,1.7619637891E+00
-2.9110E-02,1.7619637891E+00
-2.9105E-02,1.7619637891E+00
-2.9100E-02,1.7619637891E+00
-2.9095E-02,1.7619637891E+00
-2.9090E-02,1.7619637891E+00
-2.9085E-02,1.7619637891E+00
-2.9080E-02,1.7619637891E+00
-2.9075E-02,1.7619637891E+00
-2.9070E-02,1.7619637891E+00
-2.9065E-02,1.7619637891E+00
-2.9060E-02,1.7619637891E+00
-2.9055E-02,1.7619637891E+00
-2.9050E-02,1.7619637891E+00
-2.9045E-02,1.7619637891E+00
-2.9040E-02,1.7619637891E+00
-2.9035E-02,1.7619637891E+00
-2.9030E-02,1.7619637891E+00
-2.9025E-02,1.7619637891E+00
-2.9020E-02,1.7619637891E+00
-2.9015E-02,1.7619637891E+00
-2.9010E-02,1.7619637891E+00
-2.9005E-02,1.7619637891E+00
-2.9000E-02,1.7619637891E+00
-2.8995E-02,1.7619637891E+00
-2.8990E-02,1.7619637891E+00
-2.8985E-02,1.7619637891E+00
-2.8980E-02,1.7619637891E+00
-2.8975E-02,1.7619637891E+00
-2.8970E-02,1.7619637891E+00
-2.8965E-02,1.7619637891E+00
-2.8960E-02,1.7619637891E+00
-2.8955E-02,1.7619637891E+00
-2.8950E-02,1.7619637891E+00
-2.8945E-02,1.7619637891E+00
-2.8940E-02,1.7619637891E+00
-2.8935E-02,1.7619637891E+00
-2.8930E-02,1.7619637891E+00
-2.8925E-02,1.7619637891E+00
-2.8920E-02,1.7619637891E+00
-2.8915E-02,1.7619637891E+00
-2.8910E-02,1.7619637891E+00
-2.8905E-02,1.7619637891E+00
-2.8900E-02,1.7619637891E+00
-2.8895E-02,1.7619637891E+00
-2.8890E-02,1.7619637891E+00
-2.8885E-02,1.7619637891E+00
-2.8880E-02,1.7619637891E+00
-2.8875E-02,1.7619637891E+00
-2.8870E-02,1.7619637891E+00
-2.8865E-02,1.7619637891E+00
-2.8860E-02,1.7619637891E+00
-2.8855E-02,1.7619637891E+00
-2.8850E-02,1.7619637891E+00
-2.8845E-02,1.7619637891E+00
-2.8840E-02,1.7619637891E+00
-2.8835E-02,1.7619637891E+00
-2.8830E-02,1.7619637891E+00
-2.8825E-02,1.7619637891E+00
-2.8820E-02,1.7619637891E+00
-2.8815E-02,1.7619637891E+00
-2.8810E-02,1.7619637891E+00
-2.8805E-02,1.7619637891E+00
-2.8800E-02,1.7619637891E+00
-2.8795E-02,1.7619637891E+00
-2.8790E-02,1.7619637891E+00
-2.8785E-02,1.7619637891E+00
-2.8780E-02,1.7619637891E+00
-2.8775E-02,1.7619637891E+00
-2.8770E-02,1.7619637891E+00
-2.8765E-02,1.7619637891E+00
-2.8760E-02,1.7619637891E+00
-2.8755E-02,1.7619637891E+00
-2.8750E-02,1.7619637891E+00
-2.8745E-02,1.7619637891E+00
-2.8740E-02,1.7619637891E+00
-2.8735E-02,1.7619637891E+00
-2.8730E-02,1.7619637891E+00
-2.8725E-02,1.7619637891E+00
-2.8720E-02,1.7619637891E+00
-2.8715E-02,1.7619637891E+00
-2.8710E-02,1.7619637891E+00
-2.8705E-02,1.7619637891E+00
-2.8700E-02,1.7619637891E+00
-2.8695E-02,1.7619637891E+00
-2.8690E-02,1.7619637891E+00
-2.8685E-02,1.7619637891E+00
-2.8680E-02,1.7619637891E+00
-2.8675E-02,1.7619637891E+00
-2.8670E-02,1.7619637891E+00
-2.8665E-02,1.7619637891E+00
-2.8660E-02,1.7619637891E+00
-2.8655E-02,1.7619637891E+00
-2.8650E-02,1.7619637891E+00
-2.8645E-02,1.7619637891E+00
-2.8640E-02,1.7619637891E+00
-2.8635E-02,1.7619637891E+00
-2.8630E-02,1.7619637891E+00
-2.8625E-02,1.7619637891E+00
-2.8620E-02,1.7619637891E+00
-2.8615E-02,1.7619637891E+00
-2.8610E-02,1.7619637891E+00
-2.8605E-02,1.7619637891E+00
-2.8600E-02,1.7619637891E+00
-2.8595E-02,1.7619637891E+00
-2.8590E-02,1.7619637891E+00
-2.8585E-02,1.7619637891E+00
-2.8580E-02,1.7619637891E+00
-2.8575E-02,1.7619637891E+00
-2.8570E-02,1.7619637891E+00
-2.8565E-02,1.7619637891E+00
-2.8560E-02,1.7619637891E+00
-2.8555E-02,1.7619637891E+00
-2.8550E-02,1.7619637891E+00
-2.8545E-02,1.7619637891E+00
-2.8540E-02,1.7619637891E+00
-2.8535E-02,1.7619637891E+00
-2.8530E-02,1.7619637891E+00
-2.8525E-02,1.7619637891E+00
-2.8520E-02,1.7619637891E+00
-2.8515E-02,1.7619637891E+00
-2.8510E-02,1.7619637891E+00
-2.8505E-02,1.7619637891E+00
-2.8500E-02,1.7619637891E+00
